lfdn,duration,v_Assent,consent,age,gender,v_788,v_89,v_468,v_469,v_470,v_471,v_472,v_473,v_474,v_475,v_476,v_477,v_478,v_479,v_480,v_481,v_482,v_483,v_484,v_563,v_485,v_486,v_487,v_488,v_489,v_490,v_491,v_492,v_493,v_494,v_495,v_496,v_497,v_498,v_499,v_500,v_501,v_502,v_503,v_504,v_505,v_506,v_507,v_508,v_509,v_510,v_511,v_512,v_513,v_514,v_515,v_516,v_455,v_517,v_518,v_519,v_520,v_521,v_522,v_523,v_524,v_525,v_526,v_527,v_528,v_529,v_530,v_531,v_532,v_533,v_534,v_535,v_536,v_537,v_538,v_539,v_540,v_542,v_543,v_544,v_545,v_546,v_547,v_548,v_549,v_550,v_551,v_552,v_553,v_554,v_555,v_556,v_557,v_558,v_559,v_560,v_561,v_Serious
50,448,1,1,39,2,NA,5,1,5,5,1,1,6,7,2,7,7,7,1,1,2,2,6,6,NA,7,1,5,5,2,4,5,4,5,6,4,3,4,4,7,3,5,6,1,6,2,5,5,4,1,5,5,4,6,2,1,5,0,4,2,5,1,2,1,1,6,5,3,6,5,5,2,4,5,1,5,5,1,5,1,6,5,6,6,6,3,5,5,1,5,6,6,1,2,2,2,4,5,5,6,4,6,1
51,196,1,1,29,2,NA,8,1,1,1,1,1,6,6,5,5,5,5,1,1,1,1,2,1,NA,5,1,1,1,1,1,1,1,1,5,1,6,1,1,5,1,1,1,1,4,1,3,1,1,1,1,1,1,5,1,1,5,0,1,1,5,1,1,1,1,5,1,1,4,1,4,1,1,1,1,1,1,1,1,1,5,1,1,5,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1
52,442,1,1,34,1,NA,8,1,4,1,1,1,7,7,5,7,5,7,1,1,2,1,1,1,NA,6,1,4,2,3,7,5,6,2,4,7,1,1,1,5,1,1,1,1,4,7,1,5,2,1,4,1,1,5,1,4,1,0,1,7,4,5,5,4,5,5,1,1,5,1,4,7,1,5,1,5,1,1,1,5,5,1,5,5,1,1,1,1,5,4,1,1,5,1,1,1,1,1,6,1,1,1,1
53,96,1,1,34,1,NA,8,6,2,4,6,5,3,4,5,6,6,3,5,4,5,6,4,5,NA,4,4,6,5,7,6,5,5,6,4,5,5,4,4,6,6,3,5,6,3,4,4,4,4,6,6,5,5,4,3,4,4,6,2,4,4,6,4,3,6,5,4,5,5,5,7,5,5,5,5,3,6,4,5,5,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,123,1,1,29,2,NA,5,4,5,5,4,5,5,4,5,5,6,5,6,6,5,5,6,6,NA,5,4,4,6,6,5,4,5,4,4,4,5,6,5,5,5,3,5,5,5,4,4,6,5,5,4,4,4,5,4,5,4,5,6,5,5,4,4,4,5,5,5,5,5,4,5,4,5,6,5,4,4,6,5,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,853,1,1,52,1,NA,7,1,4,1,1,1,4,7,1,6,6,6,1,1,1,1,5,5,NA,6,1,3,4,1,4,5,2,3,6,6,1,5,2,7,1,1,2,1,6,1,5,5,5,1,6,1,2,6,1,1,6,0,5,1,5,1,1,1,1,6,2,1,5,4,5,1,5,7,1,4,4,1,6,1,6,5,5,6,5,1,4,4,1,1,5,3,1,1,1,1,1,2,4,4,1,5,1
57,563,1,1,24,2,NA,6,1,3,3,1,7,7,6,1,6,6,6,1,5,1,1,2,3,NA,6,1,2,4,1,2,2,2,2,7,2,2,2,2,7,2,3,2,5,7,1,3,2,2,5,7,2,3,6,2,1,3,0,2,1,7,1,1,1,1,7,2,2,3,2,6,1,5,6,2,4,2,2,3,1,7,2,6,7,6,3,2,2,1,2,5,3,1,5,2,2,5,3,2,3,2,3,1
58,938,1,1,42,1,NA,6,1,4,2,1,1,4,7,1,6,6,7,1,1,1,1,4,5,NA,5,1,3,2,1,4,5,1,4,6,7,1,5,4,7,1,1,3,2,6,1,5,4,4,1,6,1,2,6,1,1,6,0,5,1,5,1,1,1,1,7,1,1,6,4,5,1,5,7,1,5,4,1,7,1,6,4,5,6,4,1,3,4,1,2,5,3,1,1,1,1,1,2,4,4,3,5,1
59,365,1,1,34,1,NA,2,3,3,3,3,2,6,5,3,5,4,2,1,3,3,1,3,4,NA,1,1,3,2,1,2,5,2,2,4,2,2,2,2,5,2,2,2,2,3,5,2,2,2,3,5,2,2,1,3,3,2,0,1,1,1,1,2,2,1,5,2,2,5,1,2,1,1,2,1,5,2,1,1,1,1,2,1,5,1,1,5,3,1,1,2,1,1,1,1,1,1,1,1,4,2,1,1
60,323,1,1,33,1,NA,7,1,4,3,1,1,1,7,1,6,6,6,1,1,1,1,1,6,NA,6,1,4,1,1,4,4,2,1,6,5,1,1,1,6,1,1,1,1,3,1,1,1,1,1,6,1,1,6,1,1,5,0,1,1,4,1,1,1,1,6,1,1,4,1,4,1,1,1,1,6,1,1,1,1,6,1,1,6,3,1,4,1,1,4,5,1,1,1,1,1,1,1,1,4,1,4,1
61,521,1,1,42,2,NA,8,2,4,3,2,2,6,5,2,6,6,6,2,4,2,2,3,6,NA,5,2,3,4,3,3,4,2,4,6,6,2,2,2,6,1,1,3,2,6,2,4,3,3,2,4,2,2,6,2,2,4,0,3,2,4,2,2,2,2,6,2,2,5,3,4,2,5,5,2,5,3,2,5,2,6,4,2,5,5,2,4,2,2,2,5,2,2,2,2,1,2,2,2,3,2,6,1
62,212,1,1,34,1,NA,8,3,4,4,3,5,6,6,3,5,6,6,2,5,4,2,4,5,NA,5,3,4,2,2,4,5,4,3,6,5,1,4,3,4,3,2,4,2,5,2,6,3,4,6,6,4,4,5,2,2,4,0,4,2,4,2,2,2,2,5,2,5,4,2,5,2,2,6,2,6,6,5,5,2,5,4,4,5,5,2,4,4,2,4,5,4,2,3,2,2,2,4,4,4,3,4,1
63,249,1,1,31,1,NA,6,3,4,3,3,3,4,5,2,4,5,6,3,1,4,5,2,3,NA,3,4,4,4,3,2,4,1,5,4,6,2,2,3,4,5,3,4,2,3,4,6,6,5,5,7,5,5,5,3,3,3,0,3,6,2,4,2,5,6,3,4,4,5,7,3,5,5,6,6,5,4,2,1,5,4,5,3,4,4,6,6,5,6,4,3,3,4,3,3,6,3,4,6,4,5,3,1
64,462,1,1,29,1,NA,6,2,2,2,2,2,3,6,2,6,6,6,2,2,2,2,2,5,NA,6,2,2,5,2,2,4,2,2,5,2,2,2,2,2,2,2,2,2,6,2,2,5,2,2,2,6,2,5,2,2,5,0,5,2,6,2,2,2,2,5,2,5,5,5,2,2,2,2,2,2,2,2,2,2,6,2,5,5,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,6,2,2,1
65,533,1,1,36,2,NA,7,1,4,2,2,1,4,7,1,7,7,6,1,1,1,1,5,7,NA,7,1,2,5,1,1,6,2,4,7,2,1,3,5,7,2,3,5,1,7,1,3,5,7,1,6,6,2,7,1,1,5,0,5,1,6,1,1,1,1,7,3,1,5,4,6,1,1,5,1,3,3,1,6,1,7,4,6,7,3,6,6,6,1,5,6,5,1,1,1,1,1,1,4,6,1,5,1
66,512,1,1,38,1,NA,7,2,5,6,4,4,5,7,2,5,5,6,1,5,5,4,4,7,NA,6,5,4,6,4,5,5,4,6,6,6,4,3,5,4,3,2,4,4,6,5,5,4,5,4,4,5,5,5,4,2,6,0,6,5,5,2,3,2,5,6,2,3,6,5,6,5,5,6,4,4,6,4,3,3,6,4,5,6,5,5,4,6,5,4,6,6,3,4,3,2,4,5,3,4,5,5,1
67,442,1,1,29,2,NA,8,1,7,1,6,7,6,6,2,7,7,7,2,1,5,2,7,7,NA,7,2,6,7,4,3,6,4,6,5,3,2,4,3,6,5,2,3,3,3,6,6,4,4,5,5,3,3,5,4,4,4,0,5,3,5,2,5,2,4,4,2,5,5,5,3,4,6,3,5,3,4,3,4,6,3,6,2,3,3,6,4,6,3,4,3,5,2,4,3,2,3,4,4,2,2,5,1
68,584,1,1,30,1,NA,6,1,4,3,4,2,4,4,3,4,4,4,1,1,4,4,4,4,NA,4,1,4,2,3,3,4,2,3,4,5,2,2,3,5,2,2,2,1,4,3,4,2,2,2,4,1,2,4,2,3,4,0,3,3,4,3,3,4,3,4,2,1,5,2,4,3,2,2,2,3,3,1,2,2,4,3,3,4,4,1,3,2,3,2,3,2,3,2,1,1,2,2,4,3,2,4,1
69,403,1,1,42,1,NA,6,1,4,4,1,4,6,6,1,6,6,6,1,1,1,1,4,4,NA,6,1,4,4,1,4,5,4,4,6,6,1,4,4,6,4,1,4,1,4,1,4,4,4,1,4,4,1,5,1,1,4,0,4,1,6,1,1,1,1,6,1,1,4,4,6,1,1,4,1,4,4,1,1,1,6,4,4,6,4,1,4,4,1,4,4,4,1,1,1,1,1,1,4,4,1,4,1
70,541,1,1,25,1,NA,7,3,2,5,4,1,7,6,2,5,5,5,1,2,3,4,3,5,NA,5,1,3,3,4,3,4,3,1,5,6,2,2,2,5,2,3,2,1,4,6,3,2,2,2,2,3,3,5,2,5,5,0,5,5,3,3,5,2,5,5,1,3,4,3,3,5,6,7,5,4,3,1,5,6,5,3,5,5,2,4,4,3,6,2,5,4,5,1,2,1,6,2,5,4,4,3,1
71,480,1,1,37,2,NA,2,2,1,1,7,4,1,1,7,1,1,1,4,4,7,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,7,1,0,1,4,1,7,1,4,7,1,1,1,1,1,1,1,1,1,6,1,1,4,1,7,1,1,1,1,1,1,1,1,7,1,1,1,7,1,1,1,1,1,1,1,1,1,1
72,309,1,1,29,1,NA,8,2,2,1,6,1,7,5,2,4,3,6,1,2,3,1,6,4,NA,5,1,1,5,2,1,3,1,6,4,6,3,1,1,6,4,2,1,1,6,5,2,1,6,1,7,6,1,5,1,1,6,0,5,2,5,1,3,2,1,6,1,5,6,1,4,1,6,7,1,1,2,1,5,1,5,2,1,5,1,4,5,1,2,1,4,3,2,1,1,1,1,1,1,5,1,4,NA
73,588,1,1,37,2,NA,3,1,2,2,1,3,4,6,2,7,5,6,1,3,1,1,2,7,NA,6,1,3,4,1,3,6,2,2,6,3,1,3,4,6,1,1,3,1,6,2,3,2,4,3,3,5,2,5,2,2,5,0,3,2,4,2,2,3,2,6,1,3,5,3,5,2,3,4,4,4,3,2,5,2,6,4,5,7,4,3,3,3,1,3,6,2,2,1,1,1,2,3,3,4,1,4,1
74,405,1,1,28,1,NA,8,1,1,1,1,1,5,6,1,5,4,4,1,4,1,1,4,4,NA,5,1,1,1,1,1,4,1,2,2,1,1,1,3,5,1,1,1,1,2,1,4,1,3,2,4,1,1,5,1,1,3,0,1,1,5,1,1,1,1,5,1,1,5,1,2,1,3,6,1,1,1,1,7,1,5,1,3,4,1,3,2,1,1,1,3,1,1,1,1,1,1,4,1,1,1,4,1
75,826,1,1,33,2,NA,6,1,2,1,3,1,2,5,2,5,5,4,1,2,2,2,2,4,NA,5,1,1,1,3,1,3,1,2,4,4,1,1,4,5,1,1,1,1,4,2,1,3,4,1,2,2,1,5,1,3,3,0,4,4,3,1,4,2,2,3,1,1,1,1,3,4,2,2,1,1,1,1,1,4,5,1,3,4,1,1,3,1,4,1,2,1,2,1,1,1,1,1,2,3,1,2,1
76,376,1,1,31,2,NA,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,419,1,1,47,2,NA,6,2,2,2,5,5,5,5,4,5,4,5,1,5,3,4,3,4,NA,5,1,2,2,4,2,5,2,5,5,6,2,1,3,5,1,3,1,3,5,6,5,3,3,3,6,4,2,5,4,7,5,0,2,4,4,3,5,5,6,6,2,3,5,2,5,5,4,6,4,5,2,2,5,5,5,6,4,5,5,4,5,3,7,4,6,4,4,5,3,5,4,5,3,4,4,4,1
77,453,1,1,58,1,NA,7,1,4,3,2,1,7,6,3,6,6,6,1,4,1,2,2,7,NA,6,1,5,4,2,4,5,2,1,6,5,1,1,1,6,4,3,1,1,6,2,4,4,2,1,4,2,1,6,1,4,6,0,1,1,4,2,3,3,3,6,1,1,5,4,5,4,3,4,1,5,4,1,5,3,6,5,5,6,4,2,4,2,2,4,7,2,2,1,1,1,1,1,4,5,1,5,1
79,909,1,1,62,2,NA,7,1,1,1,1,1,5,1,1,6,6,6,1,1,1,1,1,1,NA,6,1,1,1,1,1,5,1,1,6,1,1,4,1,6,1,1,1,1,1,1,1,4,4,1,1,1,1,5,1,1,6,0,5,1,5,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,5,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1
80,293,1,1,29,1,NA,8,1,4,2,2,2,7,6,2,6,6,7,2,2,1,2,6,6,NA,6,1,3,6,2,2,6,2,6,6,3,6,5,6,6,1,2,4,2,6,3,6,6,6,2,6,6,2,6,2,1,6,0,6,1,7,1,1,1,1,7,1,5,6,4,6,1,2,4,1,4,4,1,5,1,7,6,6,6,4,4,6,4,1,2,6,5,1,2,2,1,1,1,4,6,1,6,1
81,325,1,1,51,1,NA,7,1,4,1,1,1,7,7,1,7,7,7,1,1,1,1,4,4,NA,7,1,1,1,1,1,7,1,1,7,1,1,4,1,7,1,1,4,1,5,1,1,4,1,1,4,1,1,7,1,1,7,0,1,1,7,1,1,1,1,7,1,1,7,4,5,1,1,7,1,1,1,1,1,1,7,1,7,7,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1
82,376,1,1,27,1,NA,6,1,1,1,4,2,4,4,4,4,4,3,1,1,4,6,1,4,NA,4,1,3,1,6,1,3,1,1,4,4,1,1,1,3,1,1,1,1,3,3,1,1,1,1,1,1,1,4,1,5,4,0,1,4,1,3,1,4,4,4,1,1,1,1,1,5,1,4,1,1,3,1,1,4,4,1,1,1,1,1,1,1,5,1,1,1,4,1,1,1,1,1,1,1,1,1,1
83,446,1,1,41,2,NA,8,1,1,1,1,1,5,7,1,7,7,6,1,1,1,2,1,5,NA,6,1,1,1,1,1,3,1,2,7,4,1,1,1,7,1,1,1,1,7,1,2,1,3,1,7,1,1,7,1,2,4,0,1,2,5,3,4,2,2,6,1,1,4,1,3,2,1,4,1,1,1,1,1,3,5,1,1,6,3,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1
84,83,1,1,25,2,NA,3,7,3,5,3,1,3,5,4,7,1,1,5,6,4,2,6,1,NA,5,4,1,5,3,2,7,3,5,7,2,5,4,1,4,5,7,4,5,7,7,5,7,3,3,3,2,7,3,3,3,4,4,3,5,3,3,6,2,2,4,1,3,5,4,1,5,4,7,4,5,6,4,1,7,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,537,1,1,55,1,NA,8,1,1,1,1,1,5,7,1,7,7,7,1,1,1,1,1,7,NA,7,1,1,1,1,1,4,1,3,7,4,1,1,1,7,1,1,1,1,7,1,1,1,1,1,1,4,4,7,1,1,4,0,1,1,4,1,1,1,1,7,1,1,4,1,7,1,4,4,1,4,1,1,4,1,7,1,4,7,4,1,1,1,1,1,4,4,1,1,1,1,1,1,1,7,1,4,1
86,447,1,1,30,1,NA,7,2,2,2,2,1,6,5,2,6,6,6,1,1,3,2,2,4,NA,6,1,2,2,2,3,4,2,2,6,3,2,2,2,6,2,2,2,1,4,4,3,2,2,1,4,2,2,4,1,2,4,0,2,2,4,2,2,2,2,6,1,1,3,2,5,2,3,2,1,2,2,1,1,2,6,3,1,6,4,3,4,2,2,3,3,4,2,1,1,1,1,1,2,4,2,4,1
87,423,1,1,63,2,NA,6,1,3,2,2,1,3,5,3,5,5,5,1,2,3,2,2,4,NA,5,1,3,4,2,3,4,3,1,5,3,1,1,1,5,1,1,2,1,4,1,3,3,1,2,5,2,1,5,1,3,4,0,1,2,2,2,3,3,2,5,1,1,5,1,4,2,1,2,1,4,2,1,2,2,5,1,4,5,3,1,2,3,3,1,4,2,3,1,1,1,1,1,3,4,1,2,1
